_RAJ2000 _DEJ2000 PMF SDSS S_N umag e_umag gmag e_gmag rmag e_rmag imag e_imag zmag e_zmag E_B-V_ pm GLON GLAT SpType Teff e_Teff logg e_logg Teff_3D_ e_Teff_3D_ logg_3D_ e_logg_3D_ Mass e_Mass Com Sp _RA.icrs _DE.icrs Plate MJD Fiber RAJ2000 DEJ2000 SNg f_umag f_gmag f_rmag f_imag f_zmag f_pm pmPA Ag GMT Atype log_g_ e_log_g_ chi2 m_Nsp Nsp q_Nsp Type WDcat DR7 Sloan Simbad PMJ _RA _DE file C0 C1 C2 C3 C4 C5 G0 G1 G2 G3 G4 G5 X0 X1 X2 X3 X4 X5 z
123.71366 46.13432 -- 081451.28+460803.6 21 18.18 0.02 17.78 0.02 17.98 0.01 18.16 0.02 18.35 0.03 -- 52.40 -- -- -- 14495 238 7.580 0.062 -- -- -- -- 0.442 0.0280 -- -- -- -- 441 51868 280 123.713660 46.134322 21.77 0 0 0 0 0 1 187.2 0.195 2000-04-04T05:17:32 CH:DA3.5_7.6 7.58 0.062 0.94 uniq -- "" DA 2 DR7 Sloan Simbad -- -- -- DA_high_SN_01979.fits 71 333 625 775 667 847 5 8 11 13 12 10 6563 4860 4340 4102 3969 3888 0
123.71673 31.66385 -- 081452.02+313949.8 11 19.38 0.03 18.97 0.02 19.00 0.02 19.08 0.02 19.24 0.04 -- 17.60 -- -- -- 9075 69 8.280 0.101 -- -- -- -- 0.764 0.0640 -- -- -- -- 861 52318 519 123.716730 31.663847 11.74 0 0 0 0 0 1 267.8 0.146 2001-12-20T06:55:04 DA5.6_8.3 8.28 0.101 0.92 uniq -- "" DA 1 DR7 Sloan Simbad -- -- -- DA_high_SN_01980.fits 53 135 193 238 340 289 11 8 9 8 16 16 6563 4860 4340 4102 3969 3888 0
123.74049 13.01018 -- 081457.72+130036.6 21 18.71 0.03 18.28 0.01 18.12 0.02 18.18 0.03 18.25 0.05 -- 59.20 -- -- -- 7332 39 7.950 0.071 -- -- -- -- 0.567 0.0360 -- -- -- -- 2420 54086 533 123.740490 13.010179 21.27 0 0 158329674399744 0 0 1 244.1 0.128 2005-10-30T10:08:14 UNA6.9_7.9 7.95 0.071 0.96 uniq -- "" DA 0 DR7 Sloan Simbad -- -- -- DA_high_SN_01981.fits 84 240 303 288 266 382 5 6 8 8 11 21 6563 4860 4340 4102 3969 3888 0
123.78812 39.48675 -- 081509.15+392912.3 12 18.58 0.02 18.85 0.02 19.27 0.01 19.64 0.03 19.84 0.08 -- 11.40 -- -- -- 32081 408 7.900 0.091 -- -- -- -- 0.600 0.0390 -- -- -- -- 759 52254 567 123.788120 39.486750 12.74 0 0 0 0 0 1 181.5 0.141 2001-04-15T02:47:53 DA1.6_7.9 7.90 0.091 1.00 uniq -- "" DA 1 DR7 Sloan Simbad -- -- -- DA_high_SN_01982.fits 41 107 206 213 258 372 8 12 12 11 12 22 6563 4860 4340 4102 3969 3888 0
123.79086 53.65362 -- 081509.81+533913.0 25 17.90 0.02 17.51 0.02 17.54 0.02 17.67 0.02 17.81 0.03 -- 56.10 -- -- -- 10139 39 8.520 0.040 -- -- -- -- 0.918 0.0230 -- -- -- -- 1781 53297 456 123.790860 53.653615 25.80 0 0 0 0 0 1 190.0 0.140 2003-10-24T10:36:53 DA5.0_8.5 8.52 0.040 0.81 uniq -- "" DA 0 DR7 Sloan Simbad -- -- -- DA_high_SN_01983.fits 124 403 670 847 802 730 10 10 11 12 12 12 6563 4860 4340 4102 3969 3888 0
123.80377 -7.33475 -- 081512.90-072005.1 12 19.49 0.04 19.59 0.01 19.92 0.03 20.24 0.05 20.13 0.11 -- 13.70 -- -- -- 25480 618 7.940 0.081 -- -- -- -- 0.605 0.0370 -- -- -- -- 2827 54422 600 123.803770 -7.334747 12.73 0 0 0 0 0 1 199.9 0.662 2007-03-14T04:16:39 DA2.0_7.9 7.94 0.081 1.02 uniq -- "" DA 0 DR7 Sloan Simbad -- -- -- DA_high_SN_01984.fits 21 59 115 117 149 256 6 11 15 9 15 19 6563 4860 4340 4102 3969 3888 0
123.81013 51.21994 -- 081514.43+511311.8 25 17.29 0.02 17.66 0.02 18.16 0.02 18.47 0.02 18.75 0.04 -- 76.40 -- -- -- 78019 3140 7.640 0.122 -- -- -- -- 0.606 0.0400 -- -- -- -- 1780 53090 633 123.810130 51.219937 25.56 0 0 0 0 0 1 188.9 0.209 2003-10-24T10:29:08 DA0.6_7.6 7.64 0.122 0.90 uniq -- "" DA 1 DR7 Sloan Simbad -- -- -- DA_high_SN_01985.fits 38 165 250 330 409 397 6 11 11 10 14 14 6563 4860 4340 4102 3969 3888 0
123.88230 44.61951 -- 081531.75+443710.3 13 19.62 0.04 19.29 0.02 19.34 0.02 19.52 0.02 19.64 0.08 -- 6.30 -- -- -- 12046 213 8.270 0.076 -- -- -- -- 0.763 0.0510 -- -- -- -- 547 52207 339 123.882300 44.619514 13.27 0 0 0 0 0 1 248.2 0.234 2000-04-05T03:43:11 DA4.2_8.3 8.27 0.076 1.13 dup- 1045 a DA 2 DR7 Sloan Simbad -- -- -- DA_high_SN_01986.fits 48 121 136 194 228 226 12 10 10 16 14 20 6563 4860 4340 4102 3969 3888 0
123.91148 12.37145 -- 081538.76+122217.2 23 18.47 0.02 18.07 0.02 18.31 0.01 18.50 0.02 18.77 0.04 -- 26.80 -- -- -- 12766 158 8.050 0.046 -- -- -- -- 0.634 0.0320 -- -- -- -- 2420 54086 550 123.911480 12.371449 23.68 0 0 0 0 0 1 166.9 0.108 2005-02-04T04:19:21 DA3.9_8.1 8.05 0.046 0.91 uniq -- "" DA 0 DR7 Sloan Simbad -- -- -- DA_high_SN_01987.fits 43 250 431 445 611 488 5 11 11 11 15 15 6563 4860 4340 4102 3969 3888 0
123.91742 8.21067 -- 081540.18+081238.4 30 17.27 0.03 17.44 0.02 17.85 0.01 18.12 0.01 18.52 0.03 -- -- -- -- -- 25649 222 7.920 0.029 -- -- -- -- 0.595 0.0130 -- -- -- -- 2571 54055 229 123.917420 8.210668 30.76 0 0 0 0 0 -- -- 0.070 2006-01-31T07:26:02 DA2.0_7.9 7.92 0.029 0.73 uniq -- "" DA 0 DR7 Sloan Simbad -- -- -- DA_high_SN_01988.fits 77 362 665 795 878 615 5 8 9 11 11 11 6563 4860 4340 4102 3969 3888 0
123.93600 58.24621 -- 081544.64+581446.3 16 18.16 0.02 17.75 0.02 17.64 0.01 17.62 0.02 17.71 0.02 -- 262.80 -- -- -- 7590 45 8.370 0.082 -- -- -- -- 0.819 0.0520 -- -- -- -- 1873 54437 239 123.936000 58.246208 16.75 0 0 0 0 0 1 211.3 0.214 2003-11-20T08:32:48 DA6.6_8.4 8.37 0.082 0.94 uniq -- "" DA 0 DR7 Sloan Simbad -- -- -- DA_high_SN_01989.fits 108 193 277 473 401 394 4 6 9 10 17 13 6563 4860 4340 4102 3969 3888 0
123.97715 38.39832 -- 081554.52+382353.9 16 19.45 0.03 19.08 0.02 19.24 0.01 19.37 0.02 19.64 0.06 -- 20.50 -- -- -- 11426 109 8.250 0.057 -- -- -- -- 0.750 0.0380 -- -- -- -- 2674 54097 477 123.977150 38.398316 16.84 0 0 0 0 0 1 233.4 0.146 2001-12-18T10:54:05 DA4.4_8.3 8.25 0.057 1.06 uniq -- "" DA 0 DR7 Sloan Simbad -- -- -- DA_high_SN_01990.fits 32 96 163 288 258 234 10 9 11 15 13 13 6563 4860 4340 4102 3969 3888 0
123.99128 31.62982 -- 081557.91+313747.3 14 18.57 0.02 18.61 0.02 19.02 0.02 19.31 0.02 19.75 0.06 -- 2.20 -- -- -- 23875 441 7.780 0.061 -- -- -- -- 0.529 0.0270 -- -- -- -- 861 52318 560 123.991280 31.629816 14.65 0 0 0 0 0 1 165.6 0.140 2002-01-09T08:50:52 DA2.1_7.8 7.78 0.061 0.89 uniq -- "" DA 1 DR7 Sloan Simbad -- -- -- DA_high_SN_01991.fits 39 136 254 322 380 455 8 8 13 11 14 19 6563 4860 4340 4102 3969 3888 0
124.04584 31.52840 -- 081611.00+313142.2 15 19.05 0.03 18.60 0.02 18.80 0.02 18.95 0.02 19.12 0.04 -- 23.80 -- -- -- 11870 154 8.160 0.064 -- -- -- -- 0.696 0.0380 -- -- -- -- 861 52318 558 124.045840 31.528402 15.57 0 0 0 0 0 1 224.1 0.146 2002-01-09T08:50:16 DA4.2_8.2 8.16 0.064 0.86 uniq -- "" DA 1 DR7 Sloan Simbad -- -- -- DA_high_SN_01992.fits 59 161 344 424 329 419 6 9 12 15 11 11 6563 4860 4340 4102 3969 3888 0
124.04935 37.16628 -- 081611.84+370958.6 18 19.27 0.02 18.81 0.02 19.00 0.02 19.21 0.02 19.49 0.05 -- 35.20 -- -- -- 12980 217 8.010 0.056 -- -- -- -- 0.613 0.0340 -- -- -- -- 2674 54097 201 124.049350 37.166279 18.64 0 0 0 0 0 1 149.8 0.209 2001-12-18T10:51:06 DA3.9_8.0 8.01 0.056 1.01 uniq -- "" DA 0 DR7 Sloan Simbad -- -- -- DA_high_SN_01993.fits 48 135 224 315 334 304 7 9 10 13 13 15 6563 4860 4340 4102 3969 3888 0
124.07805 12.25017 -- 081618.73+121500.6 11 19.59 0.04 19.17 0.02 19.39 0.02 19.62 0.02 19.76 0.07 -- 1.70 -- -- -- 13636 317 8.310 0.079 -- -- -- -- 0.790 0.0510 -- -- -- -- 2420 54086 586 124.078050 12.250168 11.43 0 0 0 0 0 1 165.8 0.128 2005-10-30T10:08:14 DA3.7_8.3 8.31 0.079 0.95 uniq -- "" DA 0 DR7 Sloan Simbad -- -- -- DA_high_SN_01994.fits 34 65 189 345 290 294 12 6 12 18 14 15 6563 4860 4340 4102 3969 3888 0
124.08282 6.95226 -- 081619.88+065708.1 16 18.92 0.02 18.61 0.02 18.92 0.01 19.29 0.02 19.33 0.04 -- 3.30 -- -- -- 15899 206 8.030 0.047 -- -- -- -- 0.629 0.0300 -- -- -- -- 1757 53083 137 124.082820 6.952262 16.98 0 0 0 0 0 1 173.5 0.073 2004-01-28T07:35:54 DA3.2_8.0 8.03 0.047 1.07 uniq -- "" DA 1 DR7 Sloan Simbad -- -- -- DA_high_SN_01995.fits 40 180 331 337 456 419 7 10 16 11 17 14 6563 4860 4340 4102 3969 3888 0
124.09642 37.15568 -- 081623.14+370920.4 11 19.88 0.03 19.43 0.02 19.45 0.02 19.53 0.02 19.65 0.06 -- 73.10 -- -- -- 9091 74 8.360 0.109 -- -- -- -- 0.815 0.0710 -- -- -- -- 2674 54097 211 124.096420 37.155678 11.88 0 0 0 0 0 1 233.1 0.213 2001-12-18T10:51:06 DA5.5_8.4 8.36 0.109 1.00 uniq -- "" DA 0 DR7 Sloan Simbad -- -- -- DA_high_SN_01996.fits 30 84 178 179 255 233 6 8 10 12 17 18 6563 4860 4340 4102 3969 3888 0
124.10421 33.12790 -- 081625.01+330740.4 21 18.08 0.02 17.79 0.02 18.09 0.02 18.36 0.02 18.59 0.03 -- 124.00 -- -- -- 16417 193 7.780 0.042 -- -- -- -- 0.509 0.0190 -- -- -- -- 862 52325 277 124.104210 33.127896 21.46 0 0 0 0 0 1 238.1 0.168 2001-12-20T06:59:50 DA3.1_7.8 7.78 0.042 1.07 uniq -- "" DA 1 DR7 Sloan Simbad -- -- -- DA_high_SN_01997.fits 60 309 546 773 788 789 6 10 12 13 13 16 6563 4860 4340 4102 3969 3888 0
124.10989 39.20558 -- 081626.37+391220.1 42 17.68 0.02 17.32 0.01 17.54 0.02 17.75 0.02 17.97 0.02 -- 22.50 -- -- -- 16601 82 7.910 0.017 -- -- -- -- 0.570 0.0090 -- -- -- -- 2670 54115 379 124.109890 39.205576 42.12 0 0 0 0 0 1 173.1 0.153 2001-02-22T03:27:48 DA3.0_7.9 7.91 0.017 0.93 uniq -- "" DA 0 DR7 Sloan Simbad -- -- -- DA_high_SN_01998.fits 99 361 668 918 878 716 5 7 10 12 11 11 6563 4860 4340 4102 3969 3888 0
124.11967 -7.42773 -- 081628.72-072539.8 56 17.15 0.02 16.91 0.01 17.19 0.01 17.45 0.01 17.71 0.02 -- 41.80 -- -- -- 16460 65 8.250 0.012 -- -- -- -- 0.757 0.0060 -- -- -- -- 2806 54425 640 124.119670 -7.427731 56.75 0 0 0 0 0 1 268.3 0.622 2006-11-18T09:30:25 CH:DA3.1_8.2 8.25 0.012 0.88 uniq -- "" DA 0 DR7 Sloan Simbad -- -- -- DA_high_SN_01999.fits 0 453 951 1037 977 505 0 8 13 13 13 8 6563 4860 4340 4102 3969 3888 0
124.13838 -7.57373 -- 081633.21-073425.4 16 19.42 0.03 19.10 0.01 19.36 0.02 19.65 0.05 19.70 0.07 -- 10.90 -- -- -- 14837 284 7.880 0.056 -- -- -- -- 0.551 0.0280 -- -- -- -- 2827 54422 40 124.138380 -7.573729 16.77 0 0 0 0 0 1 281.2 0.523 2007-03-14T04:17:15 DA3.4_7.9 7.88 0.056 1.09 uniq -- "" DA 0 DR7 Sloan Simbad -- -- -- DA_high_SN_02000.fits 25 98 183 282 353 285 6 10 13 14 11 20 6563 4860 4340 4102 3969 3888 0
124.19760 12.64920 -- 081647.42+123857.1 14 19.03 0.03 18.81 0.02 19.10 0.01 19.38 0.02 19.62 0.07 -- 20.40 -- -- -- 16766 257 7.850 0.054 -- -- -- -- 0.541 0.0230 -- -- -- -- 2420 54086 613 124.197600 12.649201 14.74 0 0 0 0 0 1 175.1 0.107 2005-10-30T10:09:26 DA3.0_7.9 7.85 0.054 1.06 uniq -- "" DA 0 DR7 Sloan Simbad -- -- -- DA_high_SN_02001.fits 36 165 269 388 369 342 8 13 11 14 17 14 6563 4860 4340 4102 3969 3888 0
124.24269 44.83149 -- 081658.25+444953.4 25 17.70 0.03 17.64 0.02 17.97 0.02 18.27 0.02 18.52 0.04 -- 27.60 -- -- -- 20775 206 7.870 0.032 -- -- -- -- 0.561 0.0140 -- -- -- -- 439 51877 32 124.242690 44.831488 25.86 158329674399744 0 0 0 0 1 303.5 0.213 2000-04-05T03:44:59 DA2.4_7.9 7.87 0.032 0.85 uniq -- "" DA 2 DR7 Sloan Simbad -- -- -- DA_high_SN_02002.fits 68 261 571 784 728 777 6 7 10 15 11 17 6563 4860 4340 4102 3969 3888 0
124.24626 50.39868 -- 081659.10+502355.3 14 19.22 0.03 18.68 0.02 18.71 0.02 18.89 0.02 18.97 0.07 -- 20.70 -- -- -- 9929 67 8.060 0.096 -- -- -- -- 0.633 0.0610 -- -- -- -- 440 51885 567 124.246260 50.398682 14.14 0 0 0 0 0 1 124.8 0.185 2000-05-03T05:33:15 DA5.1_8.1 8.06 0.096 0.96 dup- 1047 a DA 3 DR7 Sloan Simbad -- -- -- DA_high_SN_02003.fits 45 227 358 332 357 414 6 13 12 10 14 13 6563 4860 4340 4102 3969 3888 0
124.29046 14.65639 -- 081709.71+143923.0 13 18.32 0.02 18.71 0.01 19.22 0.02 19.52 0.02 19.84 0.10 -- 15.20 -- -- -- 65882 4134 7.500 0.197 -- -- -- -- 0.546 0.0620 -- -- -- -- 2272 53713 299 124.290460 14.656394 13.24 0 0 0 0 0 1 178.7 0.114 2005-01-17T08:54:00 DA0.8_7.5 7.50 0.197 1.08 uniq -- "" DA 0 DR7 Sloan Simbad -- -- -- DA_high_SN_02004.fits 33 145 207 331 498 453 9 16 15 16 26 19 6563 4860 4340 4102 3969 3888 1
124.32650 21.39529 -- 081718.36+212343.0 13 19.20 0.03 18.67 0.02 18.85 0.03 19.03 0.02 19.26 0.05 -- 32.60 -- -- -- 11356 131 8.200 0.078 -- -- -- -- 0.719 0.0510 -- -- -- -- 1925 53327 562 124.326500 21.395287 13.84 0 0 0 0 0 1 176.9 0.140 2004-03-18T05:24:56 DA4.4_8.2 8.20 0.078 0.94 uniq -- "" DA 0 DR7 Sloan Simbad -- -- -- DA_high_SN_02005.fits 54 134 289 289 425 575 7 7 13 10 12 20 6563 4860 4340 4102 3969 3888 0
124.33615 23.86990 -- 081720.68+235211.6 22 18.06 0.02 17.82 0.01 18.09 0.02 18.34 0.02 18.62 0.03 -- 2.70 -- -- -- 17166 158 7.800 0.035 -- -- -- -- 0.520 0.0190 -- -- -- -- 1585 52962 141 124.336150 23.869898 22.23 0 0 0 0 0 1 90.5 0.198 2003-01-29T04:02:07 DA2.9_7.8 7.80 0.035 0.82 uniq -- "" DA 1 DR7 Sloan Simbad -- -- -- DA_high_SN_02006.fits 66 315 506 841 806 741 9 9 9 15 12 16 6563 4860 4340 4102 3969 3888 0
124.36412 17.14671 -- 081727.39+170848.2 12 18.99 0.02 18.62 0.02 18.57 0.02 18.66 0.02 18.76 0.05 -- 32.50 -- -- -- 8941 62 7.970 0.101 -- -- -- -- 0.582 0.0540 -- -- -- -- 2271 53726 270 124.364120 17.146712 12.31 0 0 0 158329674399744 0 1 268.6 0.137 2004-12-12T09:10:39 DA5.6_8.0 7.97 0.101 1.06 uniq -- "" DA 0 DR7 Sloan Simbad -- -- -- DA_high_SN_02007.fits 62 204 348 482 612 580 6 7 10 11 14 13 6563 4860 4340 4102 3969 3888 0
124.40555 16.86654 -- 081737.33+165159.5 13 18.91 0.03 18.49 0.02 18.54 0.02 18.62 0.02 18.72 0.05 -- 18.10 -- -- -- 9219 56 7.980 0.097 -- -- -- -- 0.588 0.0550 -- -- -- -- 2271 53726 294 124.405550 16.866541 13.93 0 0 0 0 0 1 265.8 0.124 2004-12-12T09:10:04 DA5.5_8.0 7.98 0.097 1.06 uniq -- "" DA 0 DR7 Sloan Simbad -- -- -- DA_high_SN_02008.fits 62 244 352 424 547 577 5 9 7 12 15 14 6563 4860 4340 4102 3969 3888 0
124.40817 4.31846 -- 081737.96+041906.4 24 18.06 0.02 17.65 0.01 17.67 0.01 17.75 0.01 17.89 0.02 -- -- -- -- -- 9106 33 8.150 0.047 -- -- -- -- 0.684 0.0320 -- -- -- -- 1184 52641 379 124.408170 4.318455 24.08 0 0 0 0 0 -- -- 0.083 2002-02-13T05:35:04 DA5.5_8.1 8.15 0.047 0.83 uniq -- "" DA 1 DR7 Sloan Simbad -- -- -- DA_high_SN_02009.fits 122 450 653 842 810 688 6 7 8 10 11 11 6563 4860 4340 4102 3969 3888 0
124.41575 43.16061 -- 081739.78+430938.2 11 19.37 0.03 19.20 0.02 19.42 0.02 19.69 0.02 19.78 0.08 -- 9.20 -- -- -- 21257 421 7.900 0.078 -- -- -- -- 0.576 0.0360 -- -- -- -- 546 52205 604 124.415750 43.160610 11.60 0 0 0 0 0 1 83.2 0.285 2001-01-26T09:02:30 DA2.4_7.9 7.90 0.078 1.04 uniq -- "" DA 1 DR7 Sloan Simbad -- -- -- DA_high_SN_02010.fits 48 97 217 238 285 351 15 9 14 12 12 12 6563 4860 4340 4102 3969 3888 0
124.43701 9.22208 -- 081744.88+091319.5 30 18.04 0.02 17.59 0.02 17.68 0.01 17.85 0.03 18.03 0.03 -- 23.70 -- -- -- 10307 34 8.120 0.034 -- -- -- -- 0.669 0.0190 -- -- -- -- 2571 54055 451 124.437010 9.222077 30.80 0 0 0 0 0 1 189.3 0.099 2006-01-31T07:29:01 DA4.9_8.1 8.12 0.034 0.89 uniq -- "" DA 0 DR7 Sloan Simbad -- -- -- DA_high_SN_02011.fits 102 343 541 731 824 619 5 7 8 10 11 10 6563 4860 4340 4102 3969 3888 0
124.45485 46.37958 -- 081749.16+462246.5 13 19.34 0.03 18.82 0.02 18.97 0.02 19.15 0.02 19.27 0.06 -- 26.90 -- -- -- 11531 158 8.260 0.083 -- -- -- -- 0.756 0.0510 -- -- -- -- 441 51868 141 124.454850 46.379584 13.11 0 0 0 0 0 1 349.0 0.191 2000-04-05T03:49:45 DA4.4_8.3 8.26 0.083 0.97 uniq -- "" DA 2 DR7 Sloan Simbad -- -- -- DA_high_SN_02012.fits 29 167 261 313 319 432 5 12 13 12 8 17 6563 4860 4340 4102 3969 3888 0
124.47359 29.87608 -- 081753.66+295233.9 14 19.13 0.03 18.65 0.02 18.69 0.02 18.75 0.03 18.81 0.04 -- 32.30 -- -- -- 9243 58 8.220 0.086 -- -- -- -- 0.727 0.0580 -- -- -- -- 931 52619 214 124.473590 29.876075 14.84 0 0 0 0 0 1 116.4 0.140 2002-02-08T03:28:20 DA5.5_8.2 8.22 0.086 0.94 uniq -- "" DA 1 DR7 Sloan Simbad -- -- -- DA_high_SN_02013.fits 70 195 295 252 407 434 5 8 9 6 14 15 6563 4860 4340 4102 3969 3888 0
124.48026 41.66501 -- 081755.26+413954.0 11 19.53 0.03 19.07 0.02 19.00 0.02 19.00 0.02 19.06 0.04 -- 47.90 -- -- -- 7879 68 7.750 0.135 -- -- -- -- 0.477 0.0690 -- -- -- -- 760 52264 393 124.480260 41.665013 11.11 0 0 0 0 0 1 257.6 0.195 2001-02-22T03:35:33 DA6.4_7.7 7.75 0.135 1.03 uniq -- "" DA 1 DR7 Sloan Simbad -- -- -- DA_high_SN_02014.fits 48 103 251 199 297 365 6 5 11 8 21 20 6563 4860 4340 4102 3969 3888 0
124.50148 25.67153 -- 081800.36+254017.5 12 18.33 0.02 18.35 0.02 18.80 0.02 19.10 0.02 19.28 0.05 -- 22.50 -- -- -- 22982 472 7.830 0.067 -- -- -- -- 0.548 0.0320 -- -- -- -- 1266 52709 86 124.501480 25.671534 12.64 0 0 0 0 0 1 110.7 0.136 2003-01-25T04:54:06 DA2.2_7.8 7.83 0.067 0.95 uniq -- "" DA 1 DR7 Sloan Simbad -- -- -- DA_high_SN_02015.fits 54 250 464 528 528 397 7 14 10 15 15 12 6563 4860 4340 4102 3969 3888 0
124.51050 10.82635 -- 081802.52+104934.9 16 18.45 0.03 18.17 0.02 18.52 0.02 18.77 0.02 19.06 0.05 -- 2.60 -- -- -- 16907 227 7.990 0.047 -- -- -- -- 0.611 0.0270 -- -- -- -- 2421 54153 617 124.510500 10.826348 16.99 0 0 0 0 0 1 202.8 0.101 2005-11-10T10:41:08 DA3.0_8.0 7.99 0.047 1.03 uniq -- "" DA 0 DR7 Sloan Simbad -- -- -- DA_high_SN_02016.fits 56 219 362 361 396 513 8 11 12 10 10 21 6563 4860 4340 4102 3969 3888 0
124.52935 39.00155 -- 081807.04+390005.6 14 19.04 0.03 19.23 0.02 19.63 0.02 20.00 0.03 20.23 0.10 -- 2.60 -- -- -- 29302 290 8.650 0.065 -- -- -- -- 1.006 0.0360 -- -- -- -- 2674 54097 420 124.529350 39.001552 14.97 0 0 0 0 0 1 224.8 0.141 2001-12-19T07:08:19 DA1.7_8.7 8.65 0.065 1.06 uniq -- "" DA 0 DR7 Sloan Simbad -- -- -- DA_high_SN_02017.fits 21 87 141 131 211 293 8 12 14 10 20 23 6563 4860 4340 4102 3969 3888 0
124.57582 38.78518 -- 081818.20+384706.7 44 17.56 0.02 17.35 0.02 17.61 0.01 17.89 0.02 18.19 0.03 -- 41.20 -- -- -- 16568 82 7.920 0.016 -- -- -- -- 0.575 0.0090 -- -- -- -- 2670 54115 451 124.575820 38.785183 44.04 0 0 0 0 0 1 120.3 0.156 2001-12-18T10:56:28 DA3.0_7.9 7.92 0.016 0.78 uniq -- "" DA 0 DR7 Sloan Simbad -- -- -- DA_high_SN_02018.fits 91 387 682 914 1012 757 6 9 10 12 12 12 6563 4860 4340 4102 3969 3888 0
124.58508 27.09241 -- 081820.42+270532.7 51 14.44 0.01 14.94 0.02 15.49 0.01 15.87 0.01 16.20 0.01 -- 2.10 -- -- -- 79873 1646 7.410 0.063 -- -- -- -- 0.559 0.0130 -- -- -- -- 1266 52709 512 124.585080 27.092407 51.28 0 0 0 0 0 1 330.1 0.151 2003-01-25T04:58:17 DA0.6_7.4 7.41 0.063 0.39 uniq -- "" DA 1 DR7 Sloan Simbad -- -- -- DA_high_SN_02019.fits 332 1324 1971 1926 1285 1959 7 6 8 10 10 16 6563 4860 4340 4102 3969 3888 0
124.62076 31.53141 -- 081828.98+313153.1 29 17.73 0.03 17.38 0.02 17.55 0.02 17.74 0.02 17.95 0.03 -- 55.10 -- -- -- 11773 83 8.160 0.030 -- -- -- -- 0.695 0.0190 -- -- -- -- 931 52619 321 124.620760 31.531408 29.49 158329674399744 0 0 0 0 1 185.8 0.152 2002-01-14T09:11:34 DA4.3_8.2 8.16 0.030 0.85 uniq -- "" DA 1 DR7 Sloan Simbad -- -- -- DA_high_SN_02020.fits 99 402 682 876 1081 1052 6 9 9 11 12 15 6563 4860 4340 4102 3969 3888 0
124.62560 34.94418 -- 081830.14+345639.1 11 19.22 0.02 18.81 0.01 18.99 0.02 19.19 0.02 19.44 0.06 -- 23.80 -- -- -- 11748 260 8.170 0.096 -- -- -- -- 0.701 0.0640 -- -- -- -- 826 52295 133 124.625600 34.944182 11.02 0 0 0 0 0 1 155.6 0.207 2001-12-15T08:11:41 DA4.3_8.2 8.17 0.096 0.97 uniq -- "" DA 1 DR7 Sloan Simbad -- -- -- DA_high_SN_02021.fits 33 179 373 436 439 457 7 12 15 21 18 26 6563 4860 4340 4102 3969 3888 0
124.62654 -0.53778 -- 081830.37-003216.0 17 18.64 0.02 18.29 0.01 18.48 0.01 18.70 0.02 18.85 0.04 -- 13.70 -- -- -- 12686 291 8.090 0.066 -- -- -- -- 0.656 0.0440 -- -- -- -- 2077 53846 102 124.626540 -0.537781 17.38 0 0 0 0 0 1 161.3 0.211 1999-03-22T03:23:24 DA4.0_8.1 8.09 0.066 0.90 uniq -- "" DA 0 DR7 Sloan Simbad -- -- -- DA_high_SN_02022.fits 73 191 335 409 479 532 12 7 9 11 12 16 6563 4860 4340 4102 3969 3888 0
124.66737 10.36530 -- 081840.17+102155.1 20 18.28 0.02 17.98 0.02 18.26 0.01 18.52 0.02 18.82 0.05 -- 3.60 -- -- -- 15556 187 7.920 0.039 -- -- -- -- 0.572 0.0190 -- -- -- -- 2421 54153 622 124.667370 10.365301 20.13 0 0 0 0 0 1 337.4 0.098 2005-12-06T09:46:19 DA3.2_7.9 7.92 0.039 1.04 uniq -- "" DA 0 DR7 Sloan Simbad -- -- -- DA_high_SN_02023.fits 52 239 345 430 535 572 7 12 14 10 14 12 6563 4860 4340 4102 3969 3888 0
124.69796 37.52853 -- 081847.51+373142.7 14 19.37 0.03 18.94 0.02 18.86 0.02 18.91 0.02 19.08 0.04 -- 17.20 -- -- -- 8032 55 8.000 0.098 -- -- -- -- 0.596 0.0570 -- -- -- -- 893 52589 147 124.697960 37.528532 14.14 0 0 0 0 0 1 239.2 0.191 2001-12-19T07:04:44 DA6.3_8.0 8.00 0.098 0.94 uniq -- "" DA 1 DR7 Sloan Simbad -- -- -- DA_high_SN_02024.fits 46 150 208 310 300 365 5 7 8 13 10 26 6563 4860 4340 4102 3969 3888 0
124.71385 45.71032 -- 081851.32+454237.1 17 19.02 0.02 18.68 0.01 18.93 0.01 19.17 0.02 19.47 0.06 -- 26.60 -- -- -- 14754 294 7.930 0.068 -- -- -- -- 0.575 0.0330 -- -- -- -- 548 51986 321 124.713850 45.710317 17.86 0 0 17592186044416 0 0 1 262.2 0.153 2000-04-04T05:17:32 CH:DA3.4_7.9 7.93 0.068 1.90 uniq -- "" DA 2 DR7 Sloan Simbad -- -- -- DA_high_SN_02025.fits 40 139 347 364 -- -- 9 9 17 16 -- -- 6563 4860 4340 4102 -- -- 0
124.72473 9.46481 -- 081853.94+092753.3 13 18.93 0.02 18.91 0.01 19.31 0.02 19.63 0.02 20.02 0.07 -- 3.10 -- -- -- 22009 404 7.910 0.062 -- -- -- -- 0.583 0.0270 -- -- -- -- 2571 54055 382 124.724730 9.464810 13.34 0 0 0 0 0 1 326.0 0.118 2006-01-06T08:50:14 DA2.3_7.9 7.91 0.062 0.95 uniq -- "" DA 0 DR7 Sloan Simbad -- -- -- DA_high_SN_02026.fits 29 118 198 237 297 231 5 13 9 10 14 14 6563 4860 4340 4102 3969 3888 0
